"","tracking_id","Gene_Set","m","sd"
"368","GRMZM2G068506","filtered_set",139.212743795304,460.717410465461
"369","GRMZM2G003306","filtered_set",797.636444556391,629.38806505389
"371","GRMZM2G097122","filtered_set",93.7376304883478,439.023968122374
"372","GRMZM2G017290","filtered_set",106.439226352435,438.613370983396
"374","GRMZM2G341405","filtered_set",728.433907414565,687.590003149049
"375","AC233865.1_FG001","filtered_set",686.300601189435,593.116156632491
"377","AC190609.3_FG002","filtered_set",1032.77147966217,593.741087680419
"378","GRMZM2G064136","filtered_set",645.706460837826,529.526781842286
"379","GRMZM2G089713","filtered_set",258.557255437696,546.32456023591
"381","GRMZM2G001653","filtered_set",122.669429562478,434.900243130491
"385","GRMZM2G121878","filtered_set",91.228087742,429.128715316049
"386","GRMZM2G418644","filtered_set",91.0136743623043,427.585170140792
"387","GRMZM2G063435","filtered_set",90.6359941522609,426.006182852671
"390","GRMZM2G455828","filtered_set",773.057044972609,512.076069227213
"391","GRMZM2G174984","filtered_set",98.7705106463044,423.210705415405
"392","GRMZM2G346895","filtered_set",126.750174639087,453.070171376912
"393","GRMZM2G071433","filtered_set",135.41594359713,441.416136875203
"394","GRMZM2G034924","filtered_set",89.7215910607391,423.081653408363
"395","GRMZM5G875675","filtered_set",1102.94595656522,540.627466150164
"396","AC195340.3_FG001","filtered_set",1217.93391304348,503.59341391813
"397","GRMZM5G836222","filtered_set",645.840478247826,495.078859035318
"398","GRMZM2G130055","filtered_set",88.9922559579565,419.523054008636
"399","GRMZM2G080466","filtered_set",268.958165229261,447.240149331612
"400","GRMZM2G158568","filtered_set",521.63281595087,424.106835178163
"401","GRMZM2G087413","filtered_set",87.3324885796956,417.062746558074
"402","GRMZM2G112579","filtered_set",87.9772096651739,415.930970361603
"403","GRMZM2G174565","filtered_set",88.1699869998696,414.036585243853
"404","GRMZM2G468788","filtered_set",87.6879876811739,413.989435206986
"405","GRMZM2G153184","filtered_set",103.888494116435,411.449494921272
"407","GRMZM2G337113","filtered_set",97.7442548362174,409.594510067388
"408","GRMZM2G046520","filtered_set",129.60826317387,452.723561435417
"411","GRMZM2G168330","filtered_set",574.869160304348,446.847655948824
"414","GRMZM2G038519","filtered_set",108.219291217261,405.517655263991
"415","GRMZM2G364069","filtered_set",663.567250621739,489.128741681547
"416","GRMZM2G073725","filtered_set",376.732558115652,428.258578040572
"417","GRMZM2G056221","filtered_set",85.5965783725652,402.312992375229
"418","GRMZM2G097457","filtered_set",191.037573314957,502.544187735211
"419","GRMZM2G080107","filtered_set",116.223445459348,408.182162134361
"420","GRMZM2G047368","filtered_set",362.314018511348,622.022360283591
"421","GRMZM2G109959","filtered_set",128.997358345304,409.925128666781
"422","GRMZM2G164440","filtered_set",430.525672408565,418.971938089457
"423","GRMZM2G382914","filtered_set",451.399097079565,409.580421742769
"425","GRMZM2G004528","filtered_set",160.17742291,393.601968738812
"426","GRMZM2G027098","filtered_set",180.900074944957,426.220589406244
"428","GRMZM2G162659","filtered_set",96.5427126173043,391.480838324
"430","GRMZM2G063756","filtered_set",251.032940023478,388.359026314326
"431","GRMZM2G022347","filtered_set",82.4892761852609,388.929358419895
"432","GRMZM2G068682","filtered_set",82.7092178175652,388.51536674058
"434","GRMZM2G030731","filtered_set",592.278115898696,442.92194827539
"435","GRMZM2G335593","filtered_set",110.912476027478,391.327624644635
"436","GRMZM2G001058","filtered_set",83.8507193769565,381.871896598368
"437","GRMZM2G044627","filtered_set",132.735428830478,403.107277966791
"438","GRMZM2G034985","filtered_set",212.615939594391,421.310396483699
"441","AC197143.3_FG007","filtered_set",80.4488174885652,380.404323547849
"442","GRMZM2G102183","filtered_set",121.624109046478,383.4637040212
"445","GRMZM2G122871","filtered_set",682.813508708696,372.240233787312
"446","GRMZM2G033885","filtered_set",102.065201700304,375.436608837
"447","GRMZM5G815894","filtered_set",891.508459120304,471.10354347777
"449","GRMZM2G063431","filtered_set",162.129569828826,429.160214486
"450","GRMZM2G165461","filtered_set",105.791877521435,370.836460211366
"451","GRMZM2G122479","filtered_set",270.245333901739,358.630508635611
"452","GRMZM2G063896","filtered_set",568.161692185652,489.145300055296
"453","GRMZM2G401147","filtered_set",699.267869698391,604.136371711042
"454","GRMZM2G451224","filtered_set",109.788595105913,375.596808659849
"455","GRMZM2G450501","filtered_set",79.2329825914348,371.287721957771
"456","AC233788.2_FG002","filtered_set",287.022666669826,489.908196265128
"457","GRMZM2G022958","filtered_set",83.4893745580435,369.7732346606
"458","GRMZM2G173738","filtered_set",79.827370705913,369.651351077993
"459","GRMZM2G150058","filtered_set",526.559011760739,414.154037581126
"461","AC199526.5_FG002","filtered_set",637.783795696957,504.749063120847
"463","GRMZM2G041258","filtered_set",312.654334292739,405.281487478096
"464","GRMZM2G059836","filtered_set",114.131720960609,371.770517758387
"465","GRMZM2G129761","filtered_set",139.323221929174,389.554192551478
"466","GRMZM2G127160","filtered_set",87.1262710073913,365.367811163851
"470","GRMZM2G163099","filtered_set",77.3813352261304,363.020798910447
"471","GRMZM2G071327","filtered_set",78.3820184782609,362.498371859711
"472","GRMZM2G439201","filtered_set",710.035111624783,414.077517526338
"473","GRMZM2G020131","filtered_set",76.3219352550435,360.566976169879
"475","GRMZM2G394827","filtered_set",876.032045105783,447.452963873462
"476","GRMZM2G163081","filtered_set",622.794392743478,384.150158601984
"477","GRMZM2G070455","filtered_set",77.5969350026522,358.496940664149
"478","GRMZM2G128549","filtered_set",76.1594851593913,358.73940660547
"480","GRMZM2G074604","filtered_set",396.620119710435,502.712318821472
"481","GRMZM2G098298","filtered_set",339.340221058261,351.763796482854
"482","GRMZM2G125271","filtered_set",556.671772175217,378.728820420962
"483","GRMZM2G088064","filtered_set",182.977607972043,350.051498578849
"488","GRMZM2G139223","filtered_set",75.5561192465652,353.085299591155
"489","GRMZM2G018375","filtered_set",122.492594017739,353.125050755263
"490","GRMZM2G480850","filtered_set",76.1619917392174,352.536795747595
"491","GRMZM2G116292","filtered_set",634.613907679696,404.302365685819
"493","GRMZM5G860318","filtered_set",75.4120573146522,350.292318318216
"494","GRMZM2G357124","filtered_set",74.3738166114783,349.779956971028
"495","GRMZM2G436856","filtered_set",142.774201762478,438.063751714351
