,tracking_id,Syntany,m,sd
1551,GRMZM2G012220,NA,15.55451982,26.4082922
1552,GRMZM2G012224,Syntenic,7580.773873,9481.638382
1553,GRMZM2G012225,Non-Syntenic,3.98781367,21.03686162
1554,GRMZM2G012229,Syntenic,218.8711405,216.9802985
1555,GRMZM2G012236,Syntenic,0.240257008,1.380171436
1556,GRMZM2G012262,Syntenic,93.40594508,111.9243681
1557,GRMZM2G012263,Non-Syntenic,332.9964888,1094.005902
1558,GRMZM2G012269,Syntenic,2.487941765,11.53389423
1559,GRMZM2G012276,Syntenic,1732.037232,5747.002968
1560,GRMZM2G012280,Syntenic,4.377613373,11.59223079
1561,GRMZM2G012306,Syntenic,28.71560639,52.78975025
1562,GRMZM2G012319,Syntenic,126.3587012,80.54961305
1563,GRMZM2G012326,Syntenic,2.961582127,7.784940364
1564,GRMZM2G012328,Syntenic,619.893725,2054.265309
1565,GRMZM2G012340,Syntenic,3.744443953,17.40697132
1566,GRMZM2G012342,Syntenic,229.6966088,762.2309207
1567,GRMZM2G012391,Syntenic,11.80163324,50.12527258
1568,GRMZM2G012397,Syntenic,40.16838176,159.7249404
1569,GRMZM2G012399,Syntenic,22.86215058,28.26476344
1570,GRMZM2G012404,Syntenic,58.05369803,161.7956354
1571,GRMZM2G012405,Syntenic,3.131365833,12.51962214
1572,GRMZM2G012413,Syntenic,3.627931894,7.659097956
1573,GRMZM2G012416,Non-Syntenic,540.2596137,353.4475941
1574,GRMZM2G012434,Syntenic,33.32569517,57.91304878
1575,GRMZM2G012453,Syntenic,1.56402762,2.605163233
1576,GRMZM2G012455,Non-Syntenic,167.3361468,776.8522113
1577,GRMZM2G012479,Syntenic,214.639494,410.9369919
1578,GRMZM2G012501,Syntenic,337.5939334,147.9254742
1579,GRMZM2G012530,NA,10.27328082,55.01137794
1580,GRMZM2G012544,Syntenic,2.573166322,10.96335101
1581,GRMZM2G012546,Syntenic,7.885279815,43.99183382
1582,GRMZM2G012566,Non-Syntenic,150.5415445,348.729998
1583,GRMZM2G012584,Syntenic,158.4800425,201.2717526
1584,GRMZM2G012600,Syntenic,181.2250128,138.083951
1585,GRMZM2G012601,NA,41.29679308,52.83022793
1586,GRMZM2G012628,Syntenic,843.0987068,449.7093632
1587,GRMZM2G012631,Syntenic,11937.06507,6829.458032
1588,GRMZM2G012654,NA,359.5516811,355.7115027
1589,GRMZM2G012690,Syntenic,170.3457697,130.5640972
1590,GRMZM2G012724,Syntenic,0.707435372,2.091694795
1591,GRMZM2G012758,Syntenic,0.26409603,1.222646399
1592,GRMZM2G012761,Syntenic,2.685960601,4.995158333
1593,GRMZM2G012806,Syntenic,4606.878692,23906.88546
1594,GRMZM2G012814,Syntenic,5.495167726,11.32471529
1595,GRMZM2G012841,Syntenic,75.6473987,84.91696568
1596,GRMZM2G012861,Syntenic,1.009429902,2.885764081
1597,GRMZM2G012863,Syntenic,1029.364208,591.9836169
1598,GRMZM2G012874,Syntenic,49.5305843,79.31633995
1599,GRMZM2G012891,Syntenic,2.710463294,8.987028213
1600,GRMZM2G012901,Syntenic,3.128186731,11.23898831
1601,GRMZM2G012904,Non-Syntenic,50.77018986,136.7768964
1602,GRMZM2G012923,Syntenic,134.1291176,170.4524929
1603,GRMZM2G012928,Syntenic,9690.201216,52559.70429
1604,GRMZM2G012932,Syntenic,10.48300132,33.76674558
1605,GRMZM2G012942,Syntenic,33.02369656,59.26919934
1606,GRMZM2G012958,NA,25.69785761,28.99171258
1607,GRMZM2G012964,Syntenic,85.47651025,74.61172025
1608,GRMZM2G012966,Syntenic,2.780980631,10.05918548
1609,GRMZM2G012970,Syntenic,6.353660116,14.23028528
1610,GRMZM2G012992,Syntenic,3.296859086,6.104243483
1611,GRMZM2G012999,Syntenic,73.53915621,90.71461542
1612,GRMZM2G013002,Syntenic,632.1699565,1021.690159
1613,GRMZM2G013042,Syntenic,2.940635787,8.746312539
1614,GRMZM2G013065,Syntenic,71.60662757,54.56253141
1615,GRMZM2G013079,Syntenic,10.84747456,33.22684965
1616,GRMZM2G013082,Syntenic,13.06595152,46.60161673
1617,GRMZM2G013093,Non-Syntenic,15.74199502,45.15654705
1618,GRMZM2G013100,Syntenic,0.364577485,1.824775207
1619,GRMZM2G013114,Syntenic,164.3657677,121.0618631
1620,GRMZM2G013115,NA,38.5199173,50.16570431
1621,GRMZM2G013176,Syntenic,61.80519435,50.59064955
1622,GRMZM2G013201,Syntenic,167.4745002,290.2834743
1623,GRMZM2G013206,Syntenic,119.4069246,661.8061509
1624,GRMZM2G013236,Syntenic,3.669313834,11.7973398
1625,GRMZM2G013255,Syntenic,4.756925565,13.92967884
1626,GRMZM2G013264,Non-Syntenic,1.894882748,5.189882184
1627,GRMZM2G013283,Syntenic,36.10286269,24.09891768
1628,GRMZM2G013318,Syntenic,335.8577355,367.5307191
1629,GRMZM2G013324,Syntenic,567.5847919,408.2824392
1630,GRMZM2G013342,Syntenic,732.1407501,2832.879771
1631,GRMZM2G013349,Syntenic,29.85464079,63.87220111
1632,GRMZM2G013357,Syntenic,11.8503406,25.67244031
1633,GRMZM2G013378,Syntenic,236.7142107,177.0950201
1634,GRMZM2G013448,Syntenic,249.2279398,359.5805794
1635,GRMZM2G013457,Syntenic,37.01346809,150.8430134
