outRD,comet_file,length,feature,TE,geneset_file,cutoff,gset,mu,nu,s,nes
largedata/lcache/SFS_comet_blocks_CHG_row53.RData,largedata/lcache/SFS_comet_blocks_CHG.csv,0,gene,no,largedata/exon_consistency.csv,0.441839427802609,below,1.91458728659172e-06,1.50529776584324e-06,3.47907583624053e-10,5.2186137543608e-05
largedata/lcache/SFS_comet_blocks_CHG_row54.RData,largedata/lcache/SFS_comet_blocks_CHG.csv,0,gene,no,largedata/exon_consistency.csv,0.441839427802609,above,1.44498921951706e-06,1.50605547764134e-06,5.38141451919636e-07,0.0807212177879454
largedata/lcache/SFS_comet_blocks_CHG_row55.RData,largedata/lcache/SFS_comet_blocks_CHG.csv,0,gene,no,largedata/exon_consistency.csv,0.273549839491401,below,1.98329216353182e-06,1.47986213271626e-06,4.81910882043877e-10,7.22866323065815e-05
largedata/lcache/SFS_comet_blocks_CHG_row56.RData,largedata/lcache/SFS_comet_blocks_CHG.csv,0,gene,no,largedata/exon_consistency.csv,0.273549839491401,above,1.5510110416563e-06,1.53719581336769e-06,1.31160942738121e-09,0.000196741414107181
largedata/lcache/SFS_comet_blocks_CHG_row57.RData,largedata/lcache/SFS_comet_blocks_CHG.csv,0,gene,no,largedata/exon_consistency.csv,0.115535008080175,below,2.1078430400719e-06,1.42934519773798e-06,8.22532311947821e-10,0.000123379846792173
largedata/lcache/SFS_comet_blocks_CHG_row58.RData,largedata/lcache/SFS_comet_blocks_CHG.csv,0,gene,no,largedata/exon_consistency.csv,0.115535008080175,above,1.63903635256965e-06,1.52829789156989e-06,5.63353642567137e-10,8.45030463850706e-05
largedata/lcache/SFS_comet_blocks_CHG_row59.RData,largedata/lcache/SFS_comet_blocks_CHG.csv,0,gene,no,largedata/exon_consistency.csv,-0.0555405793510033,below,2.11894263977008e-06,1.3791152299605e-06,1.25109165422736e-09,0.000187663748134103
largedata/lcache/SFS_comet_blocks_CHG_row60.RData,largedata/lcache/SFS_comet_blocks_CHG.csv,0,gene,no,largedata/exon_consistency.csv,-0.0555405793510033,above,1.68197646283778e-06,1.51852704236192e-06,4.18811647446486e-10,6.28217471169729e-05
largedata/lcache/SFS_comet_blocks_CHG_row61.RData,largedata/lcache/SFS_comet_blocks_CHG.csv,0,up1k,no,largedata/exon_consistency.csv,0.603341359144955,below,1.67482695554597e-06,1.44170230041808e-06,9.20655156454249e-07,0.138098273468137
largedata/lcache/SFS_comet_blocks_CHG_row62.RData,largedata/lcache/SFS_comet_blocks_CHG.csv,0,up1k,no,largedata/exon_consistency.csv,0.603341359144955,above,1.25469130634128e-06,1.70076713836995e-06,1.76977504759327e-08,0.0026546625713899
largedata/lcache/SFS_comet_blocks_CHG_row63.RData,largedata/lcache/SFS_comet_blocks_CHG.csv,0,up1k,no,largedata/exon_consistency.csv,0.441839427802609,below,1.66682713702791e-06,1.43956339144582e-06,8.51884678630773e-07,0.127782701794616
largedata/lcache/SFS_comet_blocks_CHG_row64.RData,largedata/lcache/SFS_comet_blocks_CHG.csv,0,up1k,no,largedata/exon_consistency.csv,0.441839427802609,above,1.45669736087091e-06,1.53344073151976e-06,6.11496824551884e-07,0.0917245236827826
largedata/lcache/SFS_comet_blocks_CHG_row65.RData,largedata/lcache/SFS_comet_blocks_CHG.csv,0,up1k,no,largedata/exon_consistency.csv,0.273549839491401,below,1.62878070972279e-06,1.47243875925731e-06,5.52857263473112e-07,0.0829285895209668
largedata/lcache/SFS_comet_blocks_CHG_row66.RData,largedata/lcache/SFS_comet_blocks_CHG.csv,0,up1k,no,largedata/exon_consistency.csv,0.273549839491401,above,1.58971027420907e-06,1.43310702534064e-06,1.03813239706648e-06,0.155719859559972
largedata/lcache/SFS_comet_blocks_CHG_row67.RData,largedata/lcache/SFS_comet_blocks_CHG.csv,0,up1k,no,largedata/exon_consistency.csv,0.115535008080175,below,1.54523846449624e-06,1.53171491529396e-06,3.90367741387288e-08,0.00585551612080932
largedata/lcache/SFS_comet_blocks_CHG_row68.RData,largedata/lcache/SFS_comet_blocks_CHG.csv,0,up1k,no,largedata/exon_consistency.csv,0.115535008080175,above,1.62911860918757e-06,1.42569263311791e-06,1.02205149924765e-06,0.153307724887148
largedata/lcache/SFS_comet_blocks_CHG_row69.RData,largedata/lcache/SFS_comet_blocks_CHG.csv,0,up1k,no,largedata/exon_consistency.csv,-0.0555405793510033,below,1.49821456902415e-06,1.47961061514858e-06,5.87216155945559e-09,0.000880824233918338
largedata/lcache/SFS_comet_blocks_CHG_row70.RData,largedata/lcache/SFS_comet_blocks_CHG.csv,0,up1k,no,largedata/exon_consistency.csv,-0.0555405793510033,above,1.65326408916889e-06,1.43296348781008e-06,1.04828498650653e-06,0.157242747975979
largedata/lcache/SFS_comet_blocks_CHG_row71.RData,largedata/lcache/SFS_comet_blocks_CHG.csv,0,up1k,no,largedata/exon_consistency.csv,0.603341359144955,below,1.67482695554597e-06,1.44170230041808e-06,9.20655156454249e-07,0.138098273468137
largedata/lcache/SFS_comet_blocks_CHG_row72.RData,largedata/lcache/SFS_comet_blocks_CHG.csv,0,up1k,no,largedata/exon_consistency.csv,0.603341359144955,above,1.25469130634128e-06,1.70076713836995e-06,1.76977504759327e-08,0.0026546625713899
largedata/lcache/SFS_comet_blocks_CHG_row73.RData,largedata/lcache/SFS_comet_blocks_CHG.csv,0,up1k,no,largedata/exon_consistency.csv,0.441839427802609,below,1.66682713702791e-06,1.43956339144582e-06,8.51884678630773e-07,0.127782701794616
largedata/lcache/SFS_comet_blocks_CHG_row74.RData,largedata/lcache/SFS_comet_blocks_CHG.csv,0,up1k,no,largedata/exon_consistency.csv,0.441839427802609,above,1.45669736087091e-06,1.53344073151976e-06,6.11496824551884e-07,0.0917245236827826
largedata/lcache/SFS_comet_blocks_CHG_row75.RData,largedata/lcache/SFS_comet_blocks_CHG.csv,0,up1k,no,largedata/exon_consistency.csv,0.273549839491401,below,1.62878070972279e-06,1.47243875925731e-06,5.52857263473112e-07,0.0829285895209668
largedata/lcache/SFS_comet_blocks_CHG_row76.RData,largedata/lcache/SFS_comet_blocks_CHG.csv,0,up1k,no,largedata/exon_consistency.csv,0.273549839491401,above,1.58971027420907e-06,1.43310702534064e-06,1.03813239706648e-06,0.155719859559972
largedata/lcache/SFS_comet_blocks_CHG_row77.RData,largedata/lcache/SFS_comet_blocks_CHG.csv,0,up1k,no,largedata/exon_consistency.csv,0.115535008080175,below,1.54523846449624e-06,1.53171491529396e-06,3.90367741387288e-08,0.00585551612080932
largedata/lcache/SFS_comet_blocks_CHG_row78.RData,largedata/lcache/SFS_comet_blocks_CHG.csv,0,up1k,no,largedata/exon_consistency.csv,0.115535008080175,above,1.62911860918757e-06,1.42569263311791e-06,1.02205149924765e-06,0.153307724887148
largedata/lcache/SFS_comet_blocks_CHG_row79.RData,largedata/lcache/SFS_comet_blocks_CHG.csv,0,up1k,no,largedata/exon_consistency.csv,-0.0555405793510033,below,1.49821456902415e-06,1.47961061514858e-06,5.87216155945559e-09,0.000880824233918338
largedata/lcache/SFS_comet_blocks_CHG_row80.RData,largedata/lcache/SFS_comet_blocks_CHG.csv,0,up1k,no,largedata/exon_consistency.csv,-0.0555405793510033,above,1.65326408916889e-06,1.43296348781008e-06,1.04828498650653e-06,0.157242747975979
